word_count,usd_pledged_real
32,75350.55
11,9613
48,10446
14,25
35,18594
18,0
15,4371
60,22518.58
6,1433.46
53,303
25,76.7
50,495
17,190
24,673.71
22,667
29,15
21,4215.08
14,525.5
39,535
42,11337.5
20,464
46,107
26,0
50,3800
25,5130
22,920
14,6945
45,38016.12
39,785.04
31,1145
16,825
27,2415.47
60,2474.19
56,382
58,5164.09
11,1228
8,0
5,486
33,636
40,2637
20,1
51,625
57,2345
59,59230.76
45,6811.34
41,4210
39,2453.41
23,145.3
24,0
32,21797
28,61
27,202
18,3740.87
49,725
21,10086
45,1
20,3246
11,0
8,955
45,31
57,0
54,476
27,0
56,12133
42,27.38
16,140
46,1850
27,128.68
54,450
49,0
38,35
40,5843
9,29
31,260
11,6001
32,491
48,2025
52,215.74
16,600
49,38206
60,48785
9,2.36
21,20.79
42,2595
37,7233.11
42,47
12,950.54
15,231.88
20,2
58,21807
34,4085
32,40
20,8047.34
46,15
38,4207.23
35,625
19,440
20,22
18,1383
55,6652
39,50
27,10295
52,3436
42,2654.71
27,25
5,366
20,4296
7,210
34,12577
15,100
27,3472.74
57,250
29,50
23,0
28,1605
29,2565
29,3326
43,1172
18,50497
58,5186
9,10339
56,0
36,2916
22,100
30,2163.23
20,0
57,9484.71
11,1996
36,5904
53,13144.69
56,353.76
53,120
49,202.15
34,1036
35,255
46,2302
19,30
40,2796.11
34,4317
45,16181.2
29,249.65
12,460
14,262
10,56
20,191
37,40
41,60
11,45
49,2391.26
48,7646
57,1.98
13,8852.89
11,6.7
39,85017
19,15889.89
45,777.45
13,2
41,163.34
18,121166.59
18,4566
59,530
40,1
25,1461
60,0
40,754.56
50,4010
20,10127
47,7000
14,8585
24,112
4,38269.84
12,199
21,1635
23,3209.84
20,30
48,1774
54,578478.33
25,3068
34,85.93
11,1844
60,67408
26,0
31,11526
15,2075
8,0
20,2875
53,147.82
31,76048.46
41,223
27,8764.2
38,100
57,11300
30,278.88
40,20
44,1
24,36
51,55135
10,7170.65
55,3500
45,5180
53,13095
49,120725.76
21,0
57,47
21,10195.77
33,358
32,40
35,823
15,2229.24
28,0
49,0
28,327.83
27,0
44,1916
50,21
14,12
21,10.94
42,25
53,0
33,2000
54,5033
30,2430.37
37,1
29,13250
54,17602
16,28237
38,26
26,226
22,200
35,3012
35,2063.96
43,0
40,1655
36,5506
16,964.26
26,57249
18,5071
36,0
57,1758.93
60,30977
17,4000
21,1758
44,80
31,2
15,4410
13,29012.57
60,0
39,445
12,0
26,1213.1
59,400
47,324870
23,1488
49,0
64,130
29,30
40,1700
19,14075
35,1255
42,340
33,532
37,3
23,2015
42,181
30,20
52,0
41,120
35,0
18,425
40,0
29,0
60,10945
57,85222.04
15,0
55,3033
25,281.05
15,51318
25,32.06
36,2079
32,2891
38,13
24,250.6
61,622.3
19,878.79
49,1457
51,11480
52,506.15
23,1709.01
23,690
43,4756
16,144
29,3867
56,30585.11
55,15940
15,9913.76
47,34.58
7,5249
22,390
28,684
48,0
48,1051
19,24123
21,0
58,1586
55,505
13,0
48,0
9,1073.79
32,290
19,2115.32
57,1601
49,2085
59,244.65
49,531581
10,5630.64
59,3914.79
57,1481.29
17,56
57,833
36,45
51,8046
43,10232
60,7241.69
50,20690.5
59,26650.13
37,52
45,50
43,176.67
56,3000
46,0
